date,open,high,low,close,volume
10/7/2013,17.377,17.595,17.334,17.42,312292428
10/8/2013,17.498,17.523,17.162,17.176,290916024
10/9/2013,17.309,17.421,17.081,17.378,301724864
10/10/2013,17.547,17.585,17.394,17.487,278601960
10/11/2013,17.393,17.637,17.327,17.6,267739752
10/14/2013,17.494,17.771,17.477,17.716,261898168
10/15/2013,17.768,17.929,17.697,17.81,320074412
10/16/2013,17.885,17.947,17.83,17.897,251100052
10/17/2013,17.856,18.028,17.846,18.018,253593340
10/18/2013,18.071,18.188,18.061,18.175,290542280
10/21/2013,18.278,18.725,18.269,18.62,398107780
10/22/2013,18.8,18.873,18.144,18.567,534063012
10/23/2013,18.536,18.774,18.536,18.749,313724488
10/24/2013,18.75,19.017,18.659,18.997,384764380
10/25/2013,18.976,19.044,18.754,18.784,337792532
10/28/2013,18.894,18.964,18.686,18.924,550440492
10/29/2013,19.153,19.259,18.376,18.453,635808460
10/30/2013,18.558,18.84,18.465,18.746,354162788
10/31/2013,18.75,18.839,18.617,18.668,275695140
11/1/2013,18.715,18.743,18.423,18.572,274889216
11/4/2013,18.611,18.815,18.529,18.813,244628132
11/5/2013,18.735,18.889,18.679,18.766,265472284
11/6/2013,18.72,18.745,18.507,18.604,223376608
11/7/2013,18.556,18.685,18.299,18.303,262620400
11/8/2013,18.378,18.612,18.307,18.591,279318172
11/11/2013,18.571,18.631,18.372,18.537,227453212
11/12/2013,18.488,18.711,18.464,18.572,204458604
11/13/2013,18.5,18.652,18.463,18.594,197219708
11/14/2013,18.672,18.903,18.638,18.863,282420348
11/15/2013,18.806,18.896,18.732,18.75,317919056
11/18/2013,18.75,18.828,18.507,18.522,244944896
11/19/2013,18.537,18.692,18.499,18.555,208938828
11/20/2013,18.544,18.586,18.369,18.393,194183192
11/21/2013,18.486,18.615,18.345,18.612,262027444
11/22/2013,18.554,18.649,18.519,18.564,223724928
11/25/2013,18.608,18.781,18.607,18.705,229042044
11/26/2013,18.719,19.148,18.714,19.05,401382912
11/27/2013,19.154,19.5,19.05,19.499,363447364
11/29/2013,19.624,19.94,19.565,19.86,318128860
12/2/2013,19.929,20.155,19.672,19.687,472543540
12/3/2013,19.939,20.228,19.917,20.226,450966936
12/4/2013,20.196,20.328,20.029,20.179,377810664
12/5/2013,20.452,20.541,20.229,20.282,447581260
12/6/2013,20.207,20.241,19.985,20.001,344353408
12/9/2013,20.055,20.342,20.032,20.23,320494132
12/10/2013,20.128,20.281,20.043,20.198,278270440
12/11/2013,20.25,20.392,19.989,20.049,359718772
12/12/2013,20.076,20.191,20.001,20.019,262289272
